plant_id,plant_lat,plant_lon,TZ,UTCOffset
56606,48.2104,-104.3919,America/Denver,-7
56609,44.3901,-105.4591,America/Denver,-7
56610,44.3961,-96.5333,America/Chicago,-6
56611,31.4753,-96.9564,America/Chicago,-6
56629,41.5444,-73.0416,America/New_York,-5
56639,36.654,-120.5797,America/Los_Angeles,-8
56668,38.9982,-77.1026,America/New_York,-5
56671,39.7078,-79.9588,America/New_York,-5
56674,30.0253,-96.9945,America/Chicago,-6
56786,46.925,-98.5,America/Chicago,-6
56798,41.5526,-72.597,America/New_York,-5
56799,30.1603,-81.5164,America/New_York,-5
56803,36.6513,-120.5833,America/Los_Angeles,-8
56806,29.752,-94.923,America/Chicago,-6
56807,37.6961,-78.2848,America/New_York,-5
56808,36.9161,-82.3381,America/New_York,-5
56846,38.5686,-76.8919,America/New_York,-5
56908,46.1066,-112.8755,America/Denver,-7
56914,33.359,-117.111,America/Los_Angeles,-8
56940,41.413,-74.435,America/New_York,-5
56948,32.9175,-111.5041,America/Phoenix,-7
56963,39.8418,-75.2214,America/New_York,-5
56964,40.6529,-74.0916,America/New_York,-5
56998,38.322,-104.533,America/Denver,-7
57001,32.7971,-116.972,America/Los_Angeles,-8
57027,33.8581,-117.8616,America/Los_Angeles,-8
57028,43.9046,-116.8181,America/Boise,-7
57029,35.1706,-81.4161,America/New_York,-5
57037,32.6538,-88.7574,America/Chicago,-6
57073,35.5561,-115.4686,America/Los_Angeles,-8
57074,35.5356,-115.4515,America/Los_Angeles,-8
57075,35.5808,-115.4825,America/Los_Angeles,-8
57241,29.7675,-82.3964,America/New_York,-5
57267,38.0171,-121.7651,America/Los_Angeles,-8
57349,39.1882,-75.4999,America/New_York,-5
57480,47.55,-111.03,America/Denver,-7
57482,33.9366,-116.5722,America/Los_Angeles,-8
57483,37.7965,-121.6049,America/Los_Angeles,-8
57515,34.0078,-117.9425,America/Los_Angeles,-8
57555,32.5739,-116.9178,America/Los_Angeles,-8
57564,36.72,-119.55,America/Los_Angeles,-8
57703,41.1229,-104.7214,America/Denver,-7
57794,41.6996,-86.4814,America/Indiana/Indianapolis,-5
57839,40.515,-74.3192,America/New_York,-5
57842,39.5326,-87.4262,America/Indiana/Indianapolis,-5
57865,33.8657,-101.8437,America/Chicago,-6
57881,48.2325,-103.9528,America/Chicago,-6
57943,47.7966,-103.5783,America/Chicago,-6
57978,38.088,-121.3867,America/Los_Angeles,-8
58001,31.0558,-97.3172,America/Chicago,-6
58005,33.5756,-96.6158,America/Chicago,-6
58054,44.4719,-71.1753,America/New_York,-5
58079,40.7082,-74.1284,America/New_York,-5
58122,35.7909,-119.2945,America/Los_Angeles,-8
58124,44.8878,-89.6298,America/Chicago,-6
58235,39.4245,-75.0201,America/New_York,-5
58236,42.04,-92.87,America/Chicago,-6
58260,36.7637,-77.7112,America/New_York,-5
58284,34.6178,-106.817,America/Denver,-7
58325,36.8138,-97.1252,America/Chicago,-6
58378,29.4753,-95.6341,America/Chicago,-6
58420,41.7674,-76.3899,America/New_York,-5
58426,41.8083,-76.8392,America/New_York,-5
58427,42.7197,-84.5518,America/Detroit,-5
58471,32.0694,-102.5856,America/Chicago,-6
58478,29.6913,-91.193,America/Chicago,-6
58503,45.699,-119.8131,America/Los_Angeles,-8
58562,31.8239,-106.2119,America/Denver,-7
59004,39.0578,-77.5425,America/New_York,-5
59073,38.387,-76.408,America/New_York,-5
59093,42.793,-86.0925,America/Detroit,-5
59220,39.7194,-76.1616,America/New_York,-5
59325,35.1986,-81.3604,America/New_York,-5
59326,39.4679,-84.3531,America/New_York,-5
59764,41.6679,-83.4437,America/New_York,-5
59773,40.6048,-81.0592,America/New_York,-5
59812,29.2888,-96.066,America/Chicago,-6
59906,41.1117,-76.16,America/New_York,-5
59913,36.7184,-77.6523,America/New_York,-5
59926,45.0624,-84.8261,America/Detroit,-5
60122,29.2878,-96.0656,America/Chicago,-6
60264,29.4922,-94.9844,America/Chicago,-6
60302,38.6955,-76.8278,America/New_York,-5
60340,31.5492,-84.1114,America/New_York,-5
60345,27.6342,-80.7911,America/New_York,-5
